xenbase_gene_id,S20_C_5,S20_C_6,S20_C_A,S20_F_5,S20_F_6,S20_F_A
XB-GENE-1002882,370,164,203,240,233,356
XB-GENE-1002926,1306,827,1422,887,1089,2088
XB-GENE-1002939,283,125,153,163,165,223
XB-GENE-1002951,448,279,369,245,463,515
XB-GENE-1002977,75,32,44,51,51,86
XB-GENE-1002995,0,0,0,0,0,0
XB-GENE-1003060,33,15,28,15,55,37
XB-GENE-1003095,849,504,675,557,776,1025
XB-GENE-1003109,164,85,123,105,135,179
XB-GENE-1003124,445,247,428,292,294,590
XB-GENE-1003133,686,376,368,429,426,613
XB-GENE-1003145,0,0,0,0,0,0
XB-GENE-1003198,0,1,0,0,0,1
XB-GENE-1003250,943,481,629,673,631,964
XB-GENE-1003268,1,0,0,0,0,0
XB-GENE-1003294,2578,1029,1254,1930,1925,2470
XB-GENE-1003315,78,41,39,62,52,79
XB-GENE-1003329,5822,2905,3394,3707,3504,3937
XB-GENE-1003347,18,11,23,7,17,27
XB-GENE-1003369,1249,717,655,801,1160,1033
XB-GENE-1003379,66206,28792,39656,37846,42088,60415
XB-GENE-1003391,78,46,70,53,86,103
XB-GENE-1003489,1,0,4,0,3,0
XB-GENE-1003497,155,93,93,96,177,155
XB-GENE-1003512,88,37,30,48,48,76
XB-GENE-1003523,1528,774,409,548,792,438
XB-GENE-1003548,51,27,26,35,41,37
XB-GENE-1003595,59,31,37,40,46,68
XB-GENE-1003603,73,28,50,48,74,89
XB-GENE-1003623,4640,1858,3277,4019,4134,6142
XB-GENE-1003655,233,54,130,146,100,252
XB-GENE-1003693,114,48,69,72,73,113
XB-GENE-1003715,367,182,266,242,280,305
XB-GENE-1003770,1,1,3,2,1,5
XB-GENE-1003802,119,65,81,95,103,169
XB-GENE-1003813,83,44,58,64,70,124
XB-GENE-1003873,185,78,122,164,166,244
XB-GENE-1003886,11,3,2,6,15,9
XB-GENE-1003903,2048,1005,2078,1188,2168,2063
XB-GENE-1003964,616,297,404,386,468,577
XB-GENE-1003971,68,45,24,55,63,58
XB-GENE-1004025,67,31,40,37,62,75
XB-GENE-1004036,177,77,98,122,136,217
XB-GENE-1004076,0,0,0,0,1,1
XB-GENE-1004105,33,13,33,17,14,44
XB-GENE-1004114,873,438,547,485,645,847
XB-GENE-1004132,225,119,205,115,186,244
XB-GENE-1004145,235,103,165,180,145,285
XB-GENE-1004162,188,94,160,131,220,249
XB-GENE-1004184,730,336,360,452,516,630
XB-GENE-1004195,0,0,1,0,0,1
XB-GENE-1004218,198,62,117,119,133,193
XB-GENE-1004231,14,8,16,8,30,36
XB-GENE-1004243,294,132,190,179,281,273
XB-GENE-1004312,95,32,50,72,65,93
XB-GENE-1004339,128,75,74,82,126,110
XB-GENE-1004354,383,167,221,239,258,325
XB-GENE-1004364,290,158,168,155,265,329
XB-GENE-1004413,631,447,477,659,589,836
XB-GENE-1004425,7,4,7,6,4,7
XB-GENE-1004449,115,81,61,79,107,99
XB-GENE-1004458,102,42,99,68,77,156
XB-GENE-1004473,259,122,189,178,211,367
XB-GENE-1004592,75,28,28,36,61,67
XB-GENE-1004605,216,97,137,133,137,249
XB-GENE-1004615,59,32,35,53,45,102
XB-GENE-1004641,256,123,122,153,163,219
XB-GENE-1004666,336,121,176,184,203,327
XB-GENE-1004679,64,29,22,28,42,42
XB-GENE-1004697,245,96,86,141,125,118
XB-GENE-1004715,980,371,473,440,553,745
XB-GENE-1004735,202,145,218,161,266,366
XB-GENE-1004748,350,214,229,216,271,321
XB-GENE-1004762,13,10,7,7,7,15
XB-GENE-1004794,205,104,151,148,192,347
XB-GENE-1004804,804,530,577,494,692,640
XB-GENE-1004814,18,15,13,13,11,14
XB-GENE-1004836,63,25,67,26,52,51
XB-GENE-1004848,476,266,313,295,369,467
XB-GENE-1004886,1261,736,973,766,961,1229
XB-GENE-1004917,85,53,92,58,115,172
XB-GENE-1004928,57,38,43,26,45,71
XB-GENE-1004939,4,7,15,17,25,74
XB-GENE-1004954,38,17,18,27,17,32
XB-GENE-1004965,503,254,340,302,377,573
XB-GENE-1004974,1,0,3,1,1,1
XB-GENE-1004981,1,1,0,0,0,4
XB-GENE-1004988,36,15,20,26,25,43
XB-GENE-1005017,62,41,105,46,49,217
XB-GENE-1005029,35,9,9,16,24,30
XB-GENE-1005039,212,97,78,91,131,169
XB-GENE-1005050,50,20,37,36,20,44
XB-GENE-1005073,516,191,322,394,396,667
XB-GENE-1005089,151,42,80,83,95,199
XB-GENE-1005108,260,160,161,148,143,212
XB-GENE-1005120,215,94,134,138,119,145
XB-GENE-1005163,378,133,152,357,331,423
XB-GENE-1005177,321,183,266,187,282,393
XB-GENE-1005189,34,17,33,21,28,63
XB-GENE-1005200,116,81,106,77,148,163
XB-GENE-1005239,506,265,322,326,394,551
XB-GENE-1005323,32,15,10,19,25,14
XB-GENE-1005338,135,88,78,69,98,128
XB-GENE-1005355,49,27,23,29,35,57
XB-GENE-1005365,368,200,222,199,288,343
XB-GENE-1005376,198,75,101,116,84,101
XB-GENE-1005385,934,387,531,668,722,770
XB-GENE-1005396,335,170,170,212,264,224
XB-GENE-1005406,164,84,79,138,165,154
XB-GENE-1005416,233,106,138,165,256,328
XB-GENE-1005429,564,241,480,350,519,809
XB-GENE-1005530,490,241,320,306,340,516
XB-GENE-1005539,601,229,192,406,392,422
XB-GENE-1005566,480,264,342,387,490,595
XB-GENE-1005578,957,440,593,651,678,950
XB-GENE-1005594,60,29,38,50,46,56
XB-GENE-1005605,173,65,98,119,135,157
XB-GENE-1005621,40,11,41,27,32,58
XB-GENE-1005634,1132,529,645,680,878,942
XB-GENE-1005657,140,89,73,71,137,164
XB-GENE-1005683,685,553,476,503,705,698
XB-GENE-1005712,49,38,19,23,26,50
XB-GENE-1005726,217,100,123,134,130,218
XB-GENE-1005782,0,0,0,1,0,0
XB-GENE-1005792,166,81,89,126,136,187
XB-GENE-1005821,843,399,442,850,772,884
