xenbase_gene_id,S20_C_5,S20_C_6,S20_C_A,S20_F_5,S20_F_6,S20_F_A
XB-GENE-17342135,544,266,506,507,363,761
XB-GENE-17342156,200,121,151,148,190,176
XB-GENE-17342168,69,26,46,52,89,122
XB-GENE-17342169,38,32,32,46,54,72
XB-GENE-17342176,1392,635,684,874,957,1006
XB-GENE-17342178,259,140,133,159,233,309
XB-GENE-17342180,172,76,57,109,105,106
XB-GENE-17342196,130,147,127,131,169,169
XB-GENE-17342197,137,72,68,80,88,107
XB-GENE-17342203,0,0,0,0,0,0
XB-GENE-17342204,94,38,60,83,111,186
XB-GENE-17342208,36,27,55,20,28,57
XB-GENE-17342209,0,0,0,0,0,0
XB-GENE-17342210,0,0,0,0,0,0
XB-GENE-17342234,194,130,160,177,202,297
XB-GENE-17342236,794,527,663,487,672,848
XB-GENE-17342241,0,1,0,0,0,0
XB-GENE-17342250,67,36,36,38,43,65
XB-GENE-17342251,29,10,19,20,18,54
XB-GENE-17342252,16,7,29,16,25,40
XB-GENE-17342256,126,123,265,139,200,277
XB-GENE-17342268,124,55,94,66,73,136
XB-GENE-17342272,150,46,81,72,80,107
XB-GENE-17342281,2,0,0,39,71,112
XB-GENE-17342282,15,13,20,5,17,29
XB-GENE-17342291,78,26,46,24,37,77
XB-GENE-17342298,170,99,126,91,130,169
XB-GENE-17342306,163,93,130,128,132,228
XB-GENE-17342307,4210,1788,1787,2432,2925,3092
XB-GENE-17342323,1802,756,970,1108,1271,1744
XB-GENE-17342324,69,22,49,27,12,75
XB-GENE-17342328,3,0,1,3,0,2
XB-GENE-17342334,14,13,21,22,24,33
XB-GENE-17342339,4,3,3,2,4,7
XB-GENE-17342357,20,8,10,11,20,28
XB-GENE-17342376,135,74,105,110,162,218
XB-GENE-17342380,6,6,10,6,7,4
XB-GENE-17342409,2087,1138,1220,1628,1683,1717
XB-GENE-17342432,0,0,0,0,0,1
XB-GENE-17342444,202,261,410,184,209,426
XB-GENE-17342450,2,5,4,2,6,17
XB-GENE-17342475,20,23,26,21,23,23
XB-GENE-17342507,80,37,51,52,59,84
XB-GENE-17342525,228,97,107,152,145,200
XB-GENE-17342536,253,70,11,100,147,38
XB-GENE-17342556,418,174,324,228,185,460
XB-GENE-17342557,63,73,96,70,139,231
XB-GENE-17342564,67,30,56,37,49,80
XB-GENE-17342566,0,0,0,0,0,0
XB-GENE-17342582,314,116,214,298,323,516
XB-GENE-17342583,15,14,4,10,25,11
XB-GENE-17342592,19,5,14,20,27,68
XB-GENE-17342593,0,0,0,0,0,1
XB-GENE-17342600,564,146,168,395,336,380
XB-GENE-17342612,154,47,70,102,88,89
XB-GENE-17342615,1,1,4,0,1,2
XB-GENE-17342620,138,55,71,86,92,119
XB-GENE-17342635,531,400,481,424,462,839
XB-GENE-17342638,0,0,0,0,0,0
XB-GENE-17342639,105,86,102,91,162,156
XB-GENE-17342653,59,35,36,35,36,51
XB-GENE-17342657,8,12,14,16,18,19
XB-GENE-17342678,67,27,28,46,37,34
XB-GENE-17342690,238,120,169,126,175,283
XB-GENE-17342697,3,4,0,1,5,6
XB-GENE-17342703,50,17,27,23,23,35
XB-GENE-17342705,12,5,12,8,7,22
XB-GENE-17342716,247,145,212,142,261,204
XB-GENE-17342743,3,3,4,2,6,11
XB-GENE-17342755,65,43,36,52,85,55
XB-GENE-17342767,559,237,274,461,536,700
XB-GENE-17342769,168,76,154,84,101,271
XB-GENE-17342770,194,75,71,107,119,125
XB-GENE-17342776,231,169,144,139,183,232
XB-GENE-17342778,868,403,503,782,785,943
XB-GENE-17342800,200,77,117,138,140,256
XB-GENE-17342808,8,0,2,3,1,3
XB-GENE-17342812,5,2,9,3,4,17
XB-GENE-17342814,137,49,84,93,93,181
XB-GENE-17342830,82,70,68,62,46,61
XB-GENE-17342836,1520,780,955,908,1095,1413
XB-GENE-17342845,184,75,70,115,150,190
XB-GENE-17342846,5263,2916,3784,2903,3929,4863
XB-GENE-17342852,7,4,3,4,2,4
XB-GENE-17342885,95,32,59,61,63,153
XB-GENE-17342902,26,9,10,13,11,24
XB-GENE-17342907,930,541,691,555,724,906
XB-GENE-17342909,444,194,267,229,204,353
XB-GENE-17342930,342,176,194,181,179,194
XB-GENE-17342978,25,7,18,13,20,44
XB-GENE-17343004,446,248,334,197,424,341
XB-GENE-17343015,168,73,69,79,80,120
XB-GENE-17343028,0,0,0,0,0,0
XB-GENE-17343058,4946,1854,1731,3006,2580,2649
XB-GENE-17343088,544,239,273,375,512,671
XB-GENE-17343105,331,173,226,190,234,294
XB-GENE-17343106,722,349,590,679,671,1187
XB-GENE-17343112,849,431,532,744,743,822
XB-GENE-17343114,111,53,130,68,82,219
XB-GENE-17343115,586,270,288,421,394,458
XB-GENE-17343122,140,64,77,81,118,98
XB-GENE-17343131,28,11,24,20,15,39
XB-GENE-17343151,207,134,137,126,214,274
XB-GENE-17343152,2,1,1,2,2,21
XB-GENE-17343153,882,325,716,448,608,673
XB-GENE-17343158,278,316,290,177,365,399
XB-GENE-17343159,228,97,102,164,144,143
XB-GENE-17343163,85,43,77,66,61,100
XB-GENE-17343165,53,28,27,29,42,53
XB-GENE-17343187,2767,1272,1544,2024,2536,2930
XB-GENE-17343191,259,99,111,156,98,172
XB-GENE-17343201,1893,904,1100,1431,1637,1988
XB-GENE-17343202,71,25,42,36,37,73
XB-GENE-17343226,2,1,5,2,3,10
XB-GENE-17343237,145,60,88,97,106,157
XB-GENE-17343249,48,10,27,21,9,20
XB-GENE-17343254,2555,1236,1439,1992,1840,2557
XB-GENE-17343261,65,24,43,31,43,69
XB-GENE-17343266,58,30,55,35,56,111
XB-GENE-17343271,86,41,73,38,75,88
XB-GENE-17343272,2,2,3,1,6,3
XB-GENE-17343273,37,29,42,45,53,79
XB-GENE-17343276,419,171,126,220,194,226
XB-GENE-17343279,5,2,1,4,3,10
XB-GENE-17343280,211,104,133,155,165,224
XB-GENE-17343314,18,7,12,17,22,32
XB-GENE-17343323,0,0,1,0,1,2
XB-GENE-17343329,77,37,40,39,45,59
XB-GENE-17343338,373,158,177,294,372,424
XB-GENE-17343344,145,55,84,82,80,148
XB-GENE-17343351,40,5,5,10,12,17
XB-GENE-17343352,61,31,53,37,49,69
XB-GENE-17343357,12,9,11,4,12,21
XB-GENE-17343367,138,71,72,99,104,130
XB-GENE-17343376,0,0,0,0,0,0
XB-GENE-17343377,3264,2149,2790,1847,2944,2959
XB-GENE-17343382,94,37,65,52,47,89
XB-GENE-17343389,324,215,251,207,264,327
XB-GENE-17343392,88,53,33,46,53,66
XB-GENE-17343403,145,78,111,93,112,219
XB-GENE-17343405,95,45,50,59,80,100
XB-GENE-17343409,181,104,139,117,152,219
XB-GENE-17343428,99,52,116,63,72,124
XB-GENE-17343433,17,15,33,22,14,48
XB-GENE-17343456,2328,1356,1537,1508,2022,1993
XB-GENE-17343457,147,66,80,95,115,142
XB-GENE-17343460,10,6,10,7,13,60
XB-GENE-17343474,113,56,86,67,113,144
XB-GENE-17343479,79,47,50,70,63,67
XB-GENE-17343490,11,0,13,3,4,25
XB-GENE-17343498,98,35,63,53,67,146
XB-GENE-17343505,162,99,111,87,128,145
XB-GENE-17343506,0,0,1,0,0,0
XB-GENE-17343511,44,38,25,30,44,43
XB-GENE-17343527,0,1,1,0,2,4
XB-GENE-17343529,736,425,646,309,537,675
XB-GENE-17343537,1,1,0,0,0,2
XB-GENE-17343547,0,0,0,0,0,2
XB-GENE-17343549,19,8,9,22,33,52
XB-GENE-17343550,203,118,138,133,152,222
XB-GENE-17343582,241,112,204,119,214,200
XB-GENE-17343601,356,172,287,331,326,426
XB-GENE-17343636,10,9,9,2,11,19
XB-GENE-17343645,228,147,206,185,219,355
XB-GENE-17343688,28,11,15,16,18,33
XB-GENE-17343708,75,32,20,37,23,48
XB-GENE-17343716,379,222,258,269,256,313
XB-GENE-17343734,134,73,56,75,117,71
XB-GENE-17343750,1,1,5,0,2,96
XB-GENE-17343751,151,79,107,103,152,266
XB-GENE-17343770,123,199,173,107,273,158
XB-GENE-17343774,23,8,21,18,8,18
XB-GENE-17343779,69,45,65,30,64,156
XB-GENE-17343783,168,92,193,102,140,232
XB-GENE-17343813,886,465,633,592,740,956
XB-GENE-17343832,0,0,0,0,0,0
XB-GENE-17343852,827,496,616,500,572,653
XB-GENE-17343857,55,5,22,17,4,33
XB-GENE-17343858,414,158,282,221,290,508
XB-GENE-17343862,400,165,199,274,241,397
XB-GENE-17343866,49,19,11,25,34,18
XB-GENE-17343867,359,164,239,195,271,394
XB-GENE-17343878,8,5,2,3,2,4
XB-GENE-17343880,435,231,269,259,292,385
XB-GENE-17343913,17,8,14,9,5,11
XB-GENE-17343919,1288,711,952,830,967,1353
XB-GENE-17343922,143,53,48,82,76,80
XB-GENE-17343925,1315,491,672,774,1050,877
XB-GENE-17343935,33,21,25,27,36,48
XB-GENE-17343947,443,210,353,295,388,620
XB-GENE-17343948,48,31,52,29,40,75
XB-GENE-17343957,425,234,292,290,386,473
XB-GENE-17343963,0,0,0,0,0,1
XB-GENE-17343964,304,143,211,213,224,357
XB-GENE-17343979,50,15,2,15,5,35
XB-GENE-17343987,133,59,74,91,95,115
XB-GENE-17343998,440,283,274,297,416,506
XB-GENE-17344002,74,42,79,54,72,112
XB-GENE-17344003,1155,505,607,1016,895,1316
XB-GENE-17344005,509,214,215,295,289,464
XB-GENE-17344016,268,95,150,163,174,308
XB-GENE-17344022,157,62,107,130,82,160
XB-GENE-17344030,161,86,96,104,111,145
XB-GENE-17344047,0,0,3,0,0,0
XB-GENE-17344052,130,70,98,93,116,143
XB-GENE-17344079,35,19,38,31,38,135
XB-GENE-17344125,422,238,319,246,298,421
XB-GENE-17344126,0,0,1,0,0,0
XB-GENE-17344150,32,18,19,18,38,43
XB-GENE-17344152,64,59,85,72,84,129
XB-GENE-17344157,46,43,62,37,54,83
XB-GENE-17344166,24,13,26,11,25,47
XB-GENE-17344167,322,125,259,181,163,269
XB-GENE-17344179,17,5,14,8,14,38
XB-GENE-17344181,991,412,596,823,742,1094
XB-GENE-17344201,24,12,39,16,29,72
XB-GENE-17344213,2,5,12,2,4,14
XB-GENE-17344231,84,33,48,42,74,79
XB-GENE-17344232,5,3,6,4,7,6
XB-GENE-17344262,520,240,420,310,391,631
XB-GENE-17344263,10,7,6,9,0,0
XB-GENE-17344272,292,142,175,127,211,228
XB-GENE-17344284,59,21,23,41,27,42
XB-GENE-17344291,2,3,13,4,41,212
XB-GENE-17344295,963,511,714,570,690,974
XB-GENE-17344335,1719,812,981,1144,1222,1840
XB-GENE-17344341,1,2,1,0,0,0
XB-GENE-17344349,0,0,0,0,1,1
XB-GENE-17344352,482,189,193,301,258,322
XB-GENE-17344357,19,8,11,10,16,29
XB-GENE-17344373,2429,1171,1562,1472,1728,2051
XB-GENE-17344378,77,69,95,56,103,114
XB-GENE-17344391,61,26,25,61,38,43
XB-GENE-17344393,1344,537,689,880,845,1212
XB-GENE-17344407,118,84,44,92,78,83
XB-GENE-17344410,674,290,347,516,446,637
XB-GENE-17344442,269,78,57,166,113,83
XB-GENE-17344443,150,61,104,75,105,187
XB-GENE-17344454,226,91,97,135,127,197
XB-GENE-17344460,9,3,7,4,9,18
XB-GENE-17344466,401,256,342,270,339,487
XB-GENE-17344468,86,46,60,48,73,88
XB-GENE-17344486,211,163,219,156,248,298
XB-GENE-17344488,0,0,0,0,0,1
XB-GENE-17344492,1,2,0,1,4,4
XB-GENE-17344507,171,83,91,110,108,169
XB-GENE-17344515,538,262,293,435,376,493
XB-GENE-17344545,81,96,177,77,118,229
XB-GENE-17344552,248,145,223,170,202,335
XB-GENE-17344555,254,78,104,134,142,158
XB-GENE-17344569,288,121,120,182,178,196
XB-GENE-17344584,3,0,0,0,0,3
XB-GENE-17344588,4308,3185,2422,2758,4076,3803
XB-GENE-17344589,252,88,256,150,276,458
XB-GENE-17344590,92,37,47,36,62,42
XB-GENE-17344593,2032,711,881,1348,1045,1629
XB-GENE-17344623,67,30,46,53,34,78
XB-GENE-17344630,120,47,66,71,59,82
XB-GENE-17344635,120,64,79,68,76,135
XB-GENE-17344649,1280,781,857,854,1252,1251
XB-GENE-17344673,133,59,122,94,63,168
XB-GENE-17344686,28,6,8,68,165,425
XB-GENE-17344700,31,19,34,17,29,36
XB-GENE-17344708,30,14,21,16,18,39
XB-GENE-17344722,232,121,155,181,229,270
XB-GENE-17344732,20,11,14,7,17,14
XB-GENE-17344734,41,11,22,22,36,46
XB-GENE-17344741,511,248,453,297,340,692
XB-GENE-17344751,182,132,144,130,149,199
XB-GENE-17344781,163,65,110,104,122,275
XB-GENE-17344790,439,206,246,249,313,351
XB-GENE-17344824,33,15,57,21,27,74
XB-GENE-17344861,138,58,52,79,68,93
XB-GENE-17344873,0,0,0,0,0,0
XB-GENE-17344876,2098,914,954,1287,1295,1457
XB-GENE-17344878,718,243,204,325,270,299
XB-GENE-17344882,35,18,10,29,20,25
XB-GENE-17344894,380,271,372,245,339,479
XB-GENE-17344911,0,0,0,0,0,0
XB-GENE-17344913,0,0,0,0,0,0
XB-GENE-17344919,13,3,7,6,10,6
XB-GENE-17344921,176,86,114,106,119,244
XB-GENE-17344931,779,404,530,672,645,916
XB-GENE-17344936,180,81,129,118,125,258
XB-GENE-17344952,63,32,58,51,39,99
XB-GENE-17344954,216,107,68,71,78,99
XB-GENE-17344959,28,27,15,18,29,26
XB-GENE-17344964,51,19,33,27,18,48
XB-GENE-17345003,84,47,75,82,81,182
XB-GENE-17345014,180,130,170,136,172,244
XB-GENE-17345020,982,400,596,830,517,1067
XB-GENE-17345022,0,2,1,3,1,3
XB-GENE-17345032,16,4,13,6,10,104
XB-GENE-17345034,1021,755,609,703,1001,906
XB-GENE-17345036,202,125,130,111,139,204
XB-GENE-17345039,10,14,21,13,20,23
XB-GENE-17345040,7,5,3,1,3,6
XB-GENE-17345045,327,237,181,187,218,241
XB-GENE-17345067,568,199,255,214,338,279
XB-GENE-17345074,12,10,4,10,6,12
XB-GENE-17345082,180,102,150,107,124,239
XB-GENE-17345084,600,225,236,382,340,460
XB-GENE-17345111,784,301,444,495,513,799
XB-GENE-17345129,116,41,48,73,74,125
XB-GENE-17345160,203,75,112,120,136,170
XB-GENE-17345172,22,9,10,11,12,18
XB-GENE-17345175,6,5,8,5,4,14
XB-GENE-17345176,6,4,15,4,7,15
XB-GENE-17345182,3,6,17,8,7,26
XB-GENE-17345185,213,90,142,114,197,169
XB-GENE-17345186,1785,700,740,1066,849,1116
XB-GENE-17345209,216,153,195,146,215,310
XB-GENE-17345212,5,3,6,1,3,8
XB-GENE-17345221,2301,1060,1543,1353,1388,2186
XB-GENE-17345228,77,50,91,69,94,110
XB-GENE-17345237,159,84,78,91,121,147
XB-GENE-17345241,0,1,1,1,2,1
XB-GENE-17345254,26,32,38,26,26,58
XB-GENE-17345255,2,1,4,2,0,7
XB-GENE-17345266,36,22,34,29,42,57
XB-GENE-17345270,3,7,0,0,7,3
XB-GENE-17345271,396,144,204,237,236,354
XB-GENE-17345280,248,109,118,156,169,207
XB-GENE-17345285,1,0,0,0,2,2
XB-GENE-17345295,352,117,193,228,182,350
XB-GENE-17345296,703,187,205,573,405,554
XB-GENE-17345369,54,23,35,27,39,55
XB-GENE-17345378,1229,516,631,705,966,1003
XB-GENE-17345403,93,55,89,69,78,92
XB-GENE-17345417,150,75,114,97,94,164
XB-GENE-17345432,113,40,28,58,53,73
XB-GENE-17345444,1,0,0,0,0,2
XB-GENE-17345449,620,255,425,463,479,783
XB-GENE-17345452,311,161,236,207,233,372
XB-GENE-17345473,18,14,21,23,27,54
XB-GENE-17345482,3689,2334,3119,3259,3072,4256
XB-GENE-17345492,0,1,0,0,0,0
XB-GENE-17345494,121,51,63,66,116,131
XB-GENE-17345511,470,272,384,348,399,636
XB-GENE-17345513,628,242,319,376,322,509
XB-GENE-17345516,107,64,74,72,86,119
XB-GENE-17345542,982,568,752,638,794,1085
XB-GENE-17345605,125,59,82,66,95,150
XB-GENE-17345613,2096,470,1312,841,496,2241
XB-GENE-17345617,710,567,575,428,826,1037
XB-GENE-17345620,0,1,2,0,0,4
XB-GENE-17345632,651,320,469,440,580,844
XB-GENE-17345636,4,2,3,5,2,12
XB-GENE-17345673,346,183,265,221,204,303
XB-GENE-17345677,1754,897,775,1431,1454,1664
XB-GENE-17345693,0,0,0,0,0,0
XB-GENE-17345696,316,118,152,183,168,212
XB-GENE-17345720,64,23,36,34,30,55
XB-GENE-17345728,88,44,55,66,65,71
XB-GENE-17345745,335,177,171,245,259,309
XB-GENE-17345746,155,79,125,104,139,156
XB-GENE-17345768,526,290,307,284,413,434
XB-GENE-17345772,108,34,51,54,51,74
XB-GENE-17345775,270,77,110,240,246,282
XB-GENE-17345779,15,8,14,8,16,17
XB-GENE-17345804,85,41,58,39,70,97
XB-GENE-17345807,7,8,5,3,9,18
XB-GENE-17345810,129,28,81,87,46,138
XB-GENE-17345812,98,50,81,56,65,90
XB-GENE-17345815,13,5,10,11,17,23
XB-GENE-17345818,190,73,72,106,127,239
XB-GENE-17345825,19,8,13,16,18,19
XB-GENE-17345840,2,2,3,1,4,11
XB-GENE-17345844,76,35,49,42,60,95
XB-GENE-17345845,38,14,33,21,27,50
XB-GENE-17345853,67,25,30,41,28,53
XB-GENE-17345862,1507,780,1034,997,1033,1422
XB-GENE-17345870,33,19,34,25,28,28
XB-GENE-17345876,1938,815,1460,1426,1481,3177
XB-GENE-17345879,111,85,69,85,100,136
XB-GENE-17345905,18,10,27,12,13,41
XB-GENE-17345911,5,7,7,1,7,12
XB-GENE-17345921,6302,2872,2590,4295,4158,3960
XB-GENE-17345932,0,0,0,0,0,0
XB-GENE-17345933,654,362,493,415,536,650
XB-GENE-17345935,1035,479,671,548,712,718
XB-GENE-17345942,0,0,2,0,0,8
XB-GENE-17345954,118,39,66,60,57,111
XB-GENE-17345961,77,22,101,60,55,146
XB-GENE-17345982,74,29,38,55,53,49
XB-GENE-17345983,103,64,88,99,188,257
XB-GENE-17345996,90,35,53,51,60,82
XB-GENE-17346003,8,4,11,3,2,13
XB-GENE-17346012,49,19,27,42,64,137
XB-GENE-17346016,49,26,46,38,31,95
XB-GENE-17346025,314,162,202,154,238,308
XB-GENE-17346058,39,15,27,71,213,445
XB-GENE-17346061,75,36,56,45,49,68
XB-GENE-17346070,374,128,182,276,248,354
XB-GENE-17346071,60,16,140,51,32,201
XB-GENE-17346075,0,0,0,0,0,1
XB-GENE-17346096,774,410,589,620,658,814
XB-GENE-17346100,796,481,590,680,739,879
XB-GENE-17346104,704,364,451,534,594,846
XB-GENE-17346129,0,0,0,0,0,0
XB-GENE-17346137,1172,632,752,679,786,992
XB-GENE-17346138,562,289,414,330,377,501
XB-GENE-17346141,18,3,2,7,4,8
XB-GENE-17346148,244,106,126,192,243,210
XB-GENE-17346164,341,252,236,293,350,261
XB-GENE-17346170,1293,793,955,1080,1069,1295
XB-GENE-17346187,38,15,33,37,31,65
XB-GENE-17346208,393,222,296,232,381,391
XB-GENE-17346209,995,446,730,537,929,727
XB-GENE-17346214,560,201,158,366,358,292
XB-GENE-17346220,91,30,41,43,53,85
XB-GENE-17346234,0,0,0,0,0,1
XB-GENE-17346245,0,1,1,0,1,3
XB-GENE-17346258,57,39,126,48,48,138
XB-GENE-17346296,0,2,3,4,1,20
XB-GENE-17346305,606,369,440,390,462,703
XB-GENE-17346319,664,318,388,456,453,607
XB-GENE-17346325,0,2,0,0,1,10
XB-GENE-17346336,662,351,547,459,767,1036
XB-GENE-17346338,0,0,0,0,1,1
XB-GENE-17346339,97,39,54,93,83,118
XB-GENE-17346342,10,8,10,6,17,21
XB-GENE-17346347,0,3,0,0,0,1
XB-GENE-17346349,552,364,372,289,485,580
XB-GENE-17346353,16,2,3,9,3,6
XB-GENE-17346363,183,88,79,119,100,132
XB-GENE-17346366,4,2,2,0,1,3
XB-GENE-17346396,524,414,339,583,1157,959
XB-GENE-17346400,673,294,416,435,505,708
XB-GENE-17346408,0,0,0,0,0,0
XB-GENE-17346411,41,29,51,40,50,158
XB-GENE-17346414,1221,681,945,811,829,1201
XB-GENE-17346434,110,47,88,69,80,149
XB-GENE-17346435,83,52,59,53,107,143
XB-GENE-17346438,124,64,99,77,74,146
XB-GENE-17346442,0,1,3,1,3,24
XB-GENE-17346446,143,75,72,98,103,139
XB-GENE-17346458,412,120,231,245,199,408
XB-GENE-17346466,162,61,94,89,105,145
XB-GENE-17346492,3755,1925,2303,2665,2673,3410
XB-GENE-17346494,30,1,11,2,20,26
XB-GENE-17346496,2,1,1,0,2,4
XB-GENE-17346504,30,14,52,15,36,44
XB-GENE-17346514,21,6,17,14,12,31
XB-GENE-17346530,19,10,9,27,44,46
XB-GENE-17346559,67,40,77,52,57,108
XB-GENE-17346563,224,138,132,149,212,256
XB-GENE-17346564,2,0,1,0,1,3
XB-GENE-17346573,53,7,58,30,19,178
XB-GENE-17346577,282,142,186,194,228,307
XB-GENE-17346583,15,7,6,11,10,15
XB-GENE-17346589,29,21,29,21,28,49
XB-GENE-17346591,34,27,49,29,50,81
XB-GENE-17346609,309,170,327,211,171,597
XB-GENE-17346627,1755,819,1030,1092,1352,2052
XB-GENE-17346628,31,15,24,23,23,39
XB-GENE-17346643,77,34,40,45,51,50
XB-GENE-17346645,14,9,12,8,11,23
XB-GENE-17346660,54,18,29,26,28,38
XB-GENE-17346667,319,131,140,179,195,306
XB-GENE-17346678,3,3,3,6,3,10
XB-GENE-17346688,90,44,44,57,62,81
XB-GENE-17346695,275,163,259,170,241,304
XB-GENE-17346697,185,88,109,115,147,169
XB-GENE-17346699,91,66,63,90,96,96
XB-GENE-17346700,266,117,163,176,204,357
XB-GENE-17346702,105,63,83,67,108,180
XB-GENE-17346723,572,322,402,347,486,610
XB-GENE-17346725,403,164,354,283,313,425
XB-GENE-17346726,450,169,235,249,265,340
XB-GENE-17346728,656,405,342,506,597,579
XB-GENE-17346730,325,72,188,194,121,637
XB-GENE-17346733,233,145,109,156,171,161
XB-GENE-17346739,193,95,102,90,107,181
XB-GENE-17346778,205,105,145,101,142,203
XB-GENE-17346803,2267,953,1471,1749,1812,2733
XB-GENE-17346830,25,5,5,4,14,8
XB-GENE-17346845,61,33,40,37,44,54
XB-GENE-17346855,45,16,15,20,20,31
XB-GENE-17346866,138,83,119,79,120,150
XB-GENE-17346886,10,3,10,18,3,58
XB-GENE-17346887,3464,1954,2359,2258,2673,3009
XB-GENE-17346898,251,135,279,185,216,278
XB-GENE-17346909,32,17,24,19,23,22
XB-GENE-18005508,190,88,208,124,87,244
XB-GENE-18005520,142,47,43,64,104,138
XB-GENE-18005522,5,3,2,1,12,12
XB-GENE-18005622,0,0,0,0,0,0
XB-GENE-18005634,5190,2302,2289,2850,3402,3728
XB-GENE-18005645,66,41,54,45,75,94
XB-GENE-18005693,0,0,1,0,0,0
XB-GENE-18005769,173,132,100,113,151,147
XB-GENE-18005794,180,100,109,128,135,161
XB-GENE-18005836,0,0,0,0,0,1
XB-GENE-18005862,158,44,115,49,106,100
XB-GENE-18005872,169,74,118,115,94,168
XB-GENE-18005878,280,148,161,198,188,259
XB-GENE-18005898,0,0,2,0,0,1
XB-GENE-18006009,27,10,21,22,15,26
XB-GENE-18006014,47,62,69,33,102,117
XB-GENE-18006546,14,12,13,10,16,39
XB-GENE-18034123,4,0,3,1,2,9
XB-GENE-22041450,305,101,102,41,109,121
XB-GENE-22041601,0,0,0,0,0,0
XB-GENE-22041689,1,2,5,3,9,5
XB-GENE-22041697,1,2,5,4,4,8
XB-GENE-22041698,6,9,0,4,7,1
XB-GENE-22041729,84,45,56,44,37,76
XB-GENE-22041745,2358,1077,1217,1506,1347,1897
XB-GENE-22041757,0,0,1,0,0,0
XB-GENE-22060522,1,4,15,5,9,17
XB-GENE-22060523,102,71,169,89,84,194
XB-GENE-22060526,74,63,122,72,81,167
XB-GENE-22060530,167,67,163,108,67,203
XB-GENE-22060949,235,101,71,135,130,88
XB-GENE-22060973,0,0,0,0,0,2
XB-GENE-22061136,69,28,45,37,43,103
XB-GENE-22061497,9,8,44,34,81,677
XB-GENE-22061522,16,23,14,11,30,27
XB-GENE-22061760,176,64,103,115,118,147
XB-GENE-22061925,23,15,16,17,24,19
XB-GENE-22061926,31,28,34,23,27,36
XB-GENE-22062186,12404,3562,6280,7324,6048,9826
XB-GENE-22062345,2353,658,1010,1089,881,1226
XB-GENE-22062364,0,0,0,0,0,0
XB-GENE-22062581,420,531,535,478,853,891
XB-GENE-22062680,1,2,1,4,2,5
XB-GENE-22062688,129,64,76,116,103,118
XB-GENE-22063016,3025,1655,2027,1772,2210,2806
XB-GENE-22063028,6,0,0,1,0,6
XB-GENE-22063235,106,31,25,53,41,43
XB-GENE-22063243,279,173,307,122,153,491
XB-GENE-22063252,1138,422,1121,1559,2167,6677
XB-GENE-22063256,17,11,30,14,17,25
XB-GENE-22063259,394,234,229,271,335,382
XB-GENE-22063263,21,12,7,11,14,22
XB-GENE-22063275,4553,4135,4884,3201,5424,6993
XB-GENE-22063276,0,0,0,0,0,3
XB-GENE-22063324,1924,799,822,1229,1426,1078
XB-GENE-22063328,153,85,81,93,96,165
XB-GENE-22063329,94,61,71,55,89,108
XB-GENE-22063332,451,205,219,272,301,395
XB-GENE-22063333,70,29,38,61,37,87
XB-GENE-22063561,1188,379,848,711,559,1089
XB-GENE-22063597,137,93,105,76,146,160
XB-GENE-22063602,12169,5791,12282,6481,11565,11297
XB-GENE-22064000,50,43,47,75,53,67
XB-GENE-22064001,21,22,20,27,33,18
XB-GENE-22064041,15,16,31,30,115,130
XB-GENE-22064066,0,0,4,1,4,21
XB-GENE-22064067,13,11,20,18,19,18
XB-GENE-22064146,0,0,0,0,0,0
XB-GENE-22064196,0,0,0,0,0,0
XB-GENE-22064197,0,0,0,0,0,0
XB-GENE-22064325,0,0,0,0,0,0
XB-GENE-22064329,0,0,0,0,0,1
XB-GENE-22064481,163,64,92,117,115,146
XB-GENE-22065085,15,11,5,4,9,5
XB-GENE-22065380,0,0,0,0,0,0
XB-GENE-22065384,0,0,0,0,0,0
XB-GENE-22065647,135,83,83,86,102,153
XB-GENE-22065769,0,0,0,0,0,0
XB-GENE-22065950,633,443,465,476,628,522
XB-GENE-22066218,2,1,1,1,0,0
XB-GENE-22069492,36,8,11,15,10,12
XB-GENE-22069501,71,32,49,40,46,50
XB-GENE-22069558,4,2,1,0,1,4
XB-GENE-22069761,2,2,2,0,0,23
XB-GENE-22164456,0,0,0,0,0,0
XB-GENE-22164537,7,6,3,5,6,8
XB-GENE-22164554,758,452,328,496,560,490
XB-GENE-22164555,3611,2126,3961,3107,2308,4897
XB-GENE-22166269,5,3,2,0,4,3
XB-GENE-22167164,0,0,1,0,0,0
XB-GENE-22167221,82,48,65,29,79,84
XB-GENE-22168217,1234,647,749,802,834,1156
XB-GENE-22169434,32,18,22,22,21,48
XB-GENE-22169455,763,417,423,478,618,686
XB-GENE-22169456,151,87,153,124,151,226
XB-GENE-22169483,28,18,16,19,15,25
XB-GENE-22169494,2,1,3,3,0,3
XB-GENE-22169499,683,734,828,455,947,949
XB-GENE-22169574,1185,713,698,822,963,904
XB-GENE-22169582,315,157,128,181,178,317
XB-GENE-22169583,767,337,303,551,605,830
XB-GENE-22169634,5688,1653,2222,3118,2689,3135
XB-GENE-22169696,0,0,0,0,0,0
XB-GENE-22169715,0,0,0,0,0,0
XB-GENE-22169747,0,0,7,5,0,5
XB-GENE-22169826,0,0,0,0,0,0
XB-GENE-22172576,16,5,19,16,14,35
XB-GENE-22172577,32,17,19,22,23,29
XB-GENE-22172583,13,1,3,1,2,15
XB-GENE-22172615,0,0,0,0,0,1
XB-GENE-22201036,5,4,16,6,5,19
