CID,TID,Track Duration (min),Track Length (µm),Meandering Index,Euclidean Distance (µm),Mean Speed (µm/min),Track Present at Start or End?,Track Never Divides/Breaks?,Start Time: Total Time,End Time: Total Time,Track Duration: Total Time
1.0,1.0,230.0,80.85,0.08401855796486135,6.79290041145904,0.3515217391304348,True,False,0.0,0.03787878787878788,0.03787878787878788
1.0,2.0,1587.0,633.822,0.2025494644054517,128.38030662839222,0.39938374291115314,False,False,0.041666666666666664,0.30303030303030304,0.26136363636363635
1.0,3.0,1702.0,711.651,0.4792991178527205,341.09369651900636,0.418126321974148,False,False,0.3068181818181818,0.5871212121212122,0.2803030303030303
1.0,4.0,2484.0,963.285,0.13381367660151172,128.9007074650872,0.3877958937198068,True,False,0.5909090909090909,1.0,0.4090909090909091
1.0,5.0,2484.0,870.399,0.1062660730749134,92.49388373833155,0.35040217391304346,True,False,0.5909090909090909,1.0,0.4090909090909091
1.0,7.0,1725.0,772.966,0.24919472107244744,192.61904676848542,0.44809623188405795,False,False,0.3068181818181818,0.5909090909090909,0.2840909090909091
1.0,8.0,2484.0,556.709,0.2163713958659327,120.45590342112752,0.22411795491143316,True,False,0.5909090909090909,1.0,0.4090909090909091
1.0,9.0,2484.0,1113.36,0.5737601337255998,638.8015824847337,0.4482125603864734,True,False,0.5909090909090909,1.0,0.4090909090909091
1.0,10.0,1334.0,501.488,0.4218280611567337,211.54171073336806,0.37592803598200897,False,False,0.041666666666666664,0.26136363636363635,0.2196969696969697
1.0,11.0,4485.0,1305.945,0.23892841162002565,312.0273645131144,0.29118060200668894,True,False,0.26136363636363635,1.0,0.7386363636363636
1.0,12.0,4439.0,1445.861,0.18839115705630496,272.38742673258616,0.32571772921829245,False,False,0.26515151515151514,0.9962121212121212,0.7310606060606061
2.0,1.0,805.0,352.392,0.6368202240288673,224.4103523859806,0.43775403726708073,True,False,0.0,0.13257575757575757,0.13257575757575757
2.0,2.0,2070.0,890.779,0.5106136079783988,454.84387910139014,0.4303280193236715,False,False,0.14015151515151514,0.4810606060606061,0.3409090909090909
2.0,3.0,1702.0,983.519,0.29306864076013456,288.23857649176676,0.5778607520564042,False,False,0.14015151515151514,0.42045454545454547,0.2803030303030303
2.0,4.0,3473.0,1200.913,0.1617504623166423,194.24823295206588,0.34578548805067666,True,False,0.42803030303030304,1.0,0.571969696969697
2.0,5.0,3473.0,1354.685,0.32444750027103514,439.5241619046672,0.39006190613302616,True,False,0.42803030303030304,1.0,0.571969696969697
2.0,6.0,2024.0,836.591,0.29942336454000607,250.4948919638882,0.4133354743083004,False,False,0.48484848484848486,0.8181818181818182,0.3333333333333333
2.0,7.0,1794.0,812.233,0.4779860339540629,388.23603031661037,0.4527497212931995,False,False,0.48484848484848486,0.7803030303030303,0.29545454545454547
2.0,8.0,1288.0,576.585,0.8931228205210366,514.9612214701219,0.44765916149068324,False,False,0.7840909090909091,0.9962121212121212,0.21212121212121213
2.0,9.0,1311.0,564.997,0.5979227448581116,337.82455707659847,0.4309664378337147,True,False,0.7840909090909091,1.0,0.2159090909090909
2.0,11.0,1081.0,359.29,0.12741341420300778,45.77836558899867,0.332368177613321,True,False,0.821969696969697,1.0,0.17803030303030304
