CID,TID,Track Duration (min),Track Length (µm),Meandering Index,Euclidean Distance (µm),Mean Speed (µm/min),Track Present at Start or End?,Track Never Divides/Breaks?,Start Time: Total Time,End Time: Total Time,Track Duration: Total Time
1.0,1.0,1012.0,236.924,0.31166094619929996,73.83995801732294,0.23411462450592885,True,False,0.0,0.16730038022813687,0.16730038022813687
1.0,2.0,2806.0,882.721,0.12657839648498462,111.73340872362212,0.3145833927298646,False,False,0.17110266159695817,0.6349809885931559,0.46387832699619774
1.0,3.0,2093.0,533.167,0.03443941548424031,18.361959835485955,0.25473817486860967,False,False,0.17110266159695817,0.5171102661596958,0.34600760456273766
1.0,4.0,2185.0,573.452,0.440855359269704,252.8093874839303,0.26244942791762016,True,False,0.6387832699619772,1.0,0.3612167300380228
1.0,5.0,2185.0,620.73,0.2353629877995151,146.096867416793,0.28408695652173915,True,False,0.6387832699619772,1.0,0.3612167300380228
1.0,6.0,2254.0,568.795,0.4312631368618025,245.30031593130894,0.25234915705412597,False,False,0.5209125475285171,0.8935361216730038,0.3726235741444867
1.0,7.0,2898.0,595.706,0.07343609079372078,43.746319902364235,0.2055576259489303,True,False,0.5209125475285171,1.0,0.4790874524714829
1.0,8.0,621.0,150.635,0.5857145059806822,88.22910460840006,0.2425684380032206,True,False,0.8973384030418251,1.0,0.10266159695817491
1.0,9.0,598.0,129.251,0.45011818993684904,58.178226167527676,0.21613879598662208,False,False,0.8973384030418251,0.9961977186311787,0.09885931558935361
2.0,1.0,1449.0,237.236,0.1419138888311848,33.667083330754956,0.1637239475500345,True,False,0.0,0.23954372623574144,0.23954372623574144
2.0,2.0,1380.0,400.391,0.19654730293572928,78.69577116973959,0.2901384057971015,False,False,0.24334600760456274,0.4714828897338403,0.22813688212927757
2.0,3.0,2185.0,669.681,0.07431983684295435,49.77058265682651,0.3064901601830664,False,False,0.24334600760456274,0.6045627376425855,0.3612167300380228
2.0,4.0,2438.0,607.918,0.25166402908651175,152.99109323421405,0.24935110746513536,False,False,0.4752851711026616,0.8783269961977186,0.40304182509505704
2.0,5.0,3105.0,638.444,0.10917061853702129,69.69932638125002,0.20561803542673107,False,False,0.4752851711026616,0.9885931558935361,0.5133079847908745
2.0,6.0,1242.0,289.27,0.4127945853647014,119.40908970844717,0.23290660225442833,False,False,0.6083650190114068,0.8136882129277566,0.20532319391634982
2.0,7.0,1081.0,315.438,0.6505680465046617,205.21388345333747,0.2918020351526364,False,False,0.6083650190114068,0.7870722433460076,0.17870722433460076
2.0,8.0,690.0,238.344,0.9013717027420047,214.83653711834037,0.3454260869565217,False,False,0.8821292775665399,0.9961977186311787,0.11406844106463879
2.0,9.0,713.0,184.837,0.3976944514410819,73.50864932101526,0.2592384291725105,True,False,0.8821292775665399,1.0,0.11787072243346007
2.0,10.0,23.0,5.494,1.0000743577351423,5.494408521396871,0.2388695652173913,False,False,0.9923954372623575,0.9961977186311787,0.0038022813688212928
2.0,11.0,23.0,13.554,1.0000038348219298,13.554051977176435,0.589304347826087,False,False,0.9923954372623575,0.9961977186311787,0.0038022813688212928
2.0,12.0,1081.0,246.985,0.7121549474412034,175.89158969376564,0.22847826086956524,False,False,0.8174904942965779,0.9961977186311787,0.17870722433460076
2.0,13.0,1081.0,303.637,0.7464521491689236,226.65049121720443,0.28088529139685475,False,False,0.8174904942965779,0.9961977186311787,0.17870722433460076
2.0,14.0,1265.0,385.837,0.3204602190529393,123.64540953872894,0.30500948616600787,True,False,0.7908745247148289,1.0,0.20912547528517111
2.0,15.0,1265.0,448.364,0.060344581594574856,27.05633798206996,0.3544379446640316,True,False,0.7908745247148289,1.0,0.20912547528517111
3.0,1.0,2116.0,715.054,0.5216243845070012,372.98960263926926,0.3379272211720227,True,False,0.0,0.34980988593155893,0.34980988593155893
3.0,2.0,2001.0,310.422,0.40978150698320503,127.20519496074049,0.15513343328335832,False,False,0.35361216730038025,0.6844106463878327,0.33079847908745247
3.0,3.0,2300.0,534.598,0.386031871694904,206.37186654435226,0.23243391304347824,False,False,0.35361216730038025,0.7338403041825095,0.38022813688212925
3.0,4.0,1886.0,316.44,0.055983630922185,17.71546016901622,0.16778366914103923,True,False,0.688212927756654,1.0,0.311787072243346
3.0,5.0,736.0,148.675,0.0509849315239262,7.580184694319728,0.20200407608695653,False,False,0.688212927756654,0.8098859315589354,0.12167300380228137
3.0,6.0,1587.0,169.952,0.6124188389813703,104.08180652256183,0.10709010712035287,True,False,0.7376425855513308,1.0,0.2623574144486692
3.0,7.0,1587.0,292.777,0.18124736011685058,53.06505835293116,0.18448456206679267,True,False,0.7376425855513308,1.0,0.2623574144486692
4.0,1.0,575.0,210.781,0.3350609169773964,70.62447514141259,0.3665756521739131,True,False,0.0,0.09505703422053231,0.09505703422053231
4.0,2.0,1426.0,393.661,0.33713600348821715,132.71729626917505,0.2760596072931276,False,False,0.09885931558935361,0.33460076045627374,0.23574144486692014
4.0,3.0,1288.0,318.255,0.1416124984598548,45.06888569734109,0.24709239130434782,False,False,0.09885931558935361,0.311787072243346,0.21292775665399238
4.0,4.0,3105.0,627.598,0.19938235539045485,125.13196747833867,0.20212495974235103,False,False,0.33840304182509506,0.8517110266159695,0.5133079847908745
4.0,5.0,2438.0,478.466,0.14173020936716238,67.81308635506872,0.196253486464315,False,False,0.33840304182509506,0.7414448669201521,0.40304182509505704
4.0,6.0,2392.0,486.147,0.0672095527457362,32.673722438681416,0.20323871237458194,False,False,0.3155893536121673,0.7110266159695817,0.39543726235741444
