clone	replicate	tracking.id	volume	mean.thickness	radius	area	sphericity	length	dry.mass	perimeter	length.to.width
cloneA	1	3453	936.2550048828125	1.391672730445865	14.7940721511841	688.079986572266	0.32050000131130196	54.0949993133545	234.060005187988	139.04500579834001	2.6018608115510644
cloneA	1	3157	1375.484985351565	1.5816565155983	16.769022941589398	883.5050048828125	0.31949999928474404	60.86499977111815	343.8600006103515	151.35500335693348	2.3196848710135476
cloneA	1	1754	1064.28002929688	1.03016114234924	18.1342849731445	1033.11999511719	0.230000004172325	67.620002746582	266.059997558594	169.649993896484	2.6168731558544436
cloneA	1	1081	942.409973144531	1.13067936897278	16.2882804870605	833.489990234375	0.26800000667572	50.4000015258789	235.600006103516	161.669998168945	2.1328820700746833
cloneA	1	290	989.5900268554675	1.263590455055235	15.780239105224599	782.3649902343755	0.2804999947547915	42.050001144409194	247.395004272461	177.305000305176	1.235067174298938
cloneA	2	432	1188.85998535156	1.27050244808197	17.2584838867188	935.739990234375	0.273000001907349	79.7099990844727	297.209991455078	NA	2.901710996611558
cloneA	2	2533	831.539978027344	1.02208781242371	16.0924625396729	813.570007324219	0.252000004053116	59.8600006103516	207.880004882813	NA	3.406943747869572
cloneA	2	870	1237.60998535156	1.12412285804749	18.5225257873535	1077.82995605469	0.247999995946884	90.5800018310547	309.399993896484	NA	4.346449192314738
cloneA	2	1980	1213.11999511719	1.33430123329163	17.0117893218994	909.179992675781	0.282000005245209	63.25	303.279998779297	NA	2.2007655011731098
cloneA	2	2414	1866.7849731445299	2.423698663711545	15.66707420349125	771.2950134277345	0.41300000250339497	50.180000305175795	466.695007324219	NA	2.055925890409058
cloneA	3	45	2751.67993164063	1.07107174396515	28.596622467041	2569.09008789063	0.178000003099442	101.529998779297	687.919982910156	445.760009765625	1.318571412718143
cloneA	3	1454	872.375	1.062939405441286	16.20436477661135	826.6299743652345	0.2570000067353245	47.13500022888179	218.08499908447249	146.700004577637	1.427897190872969
cloneA	3	3135	1298.2099609375	1.49332821369171	16.4432945251465	849.429992675781	0.314999997615814	49.4900016784668	324.540008544922	118.419998168945	2.282292064964171
cloneA	3	1221	831.489990234375	1.03611171245575	15.982705116272	802.510009765625	0.252000004053116	72.7799987792969	207.869995117188	153.020004272461	4.241258707835762
cloneA	3	2350	1018.5599670410155	1.278947651386265	15.5868430137634	765.7649841308595	0.292500004172325	39.319999694824205	254.635009765625	125.0699996948245	1.3763668434079692
cloneB	1	1766	777.659973144531	1.25045812129974	14.0697164535522	621.900024414063	0.296999990940094	31.6100006103516	194.410003662109	115.76000213623	1.0219851373574675
cloneB	1	1899	938.859985351563	1.1523175239563	16.2622699737549	830.830017089844	0.270999997854233	53.8899993896484	234.710006713867	138.380004882813	1.9761642275405995
cloneB	1	2092	1113.42004394531	1.224365711212155	16.284029006958	833.929992675781	0.275499999523163	46.9149990081787	278.3500061035155	136.3850021362305	1.6645429294554805
cloneB	1	1808	943.315002441409	1.60040295124054	13.673376083374	587.8250122070315	0.3610000014305115	39.8649997711182	235.82499694824202	130.73000335693348	1.3550452567982276
cloneB	1	1626	1492.9850463867201	1.062820613384245	21.14827632904055	1417.3349609375	0.219499997794628	56.469999313354506	373.24000549316395	170.979995727539	1.33018195110012
cloneB	2	3713	2018.2900390625	0.781489610671997	28.6679935455322	2581.92993164063	0.148000001907349	78.3000030517578	504.570007324219	244.830001831055	1.7336001277054016
cloneB	2	1807	1129.17004394531	1.02986991405487	18.6815776824951	1096.42004394531	0.225999996066093	48.7299995422363	282.290008544922	208.240005493164	1.0109958251225653
cloneB	2	3942	838.140014648438	1.0268429517746	16.1187496185303	816.22998046875	0.247999995946884	43.1300010681152	209.529998779297	161	1.3328183020589437
cloneB	2	2343	1283.5599975585951	2.7530553340911847	13.281875610351548	586.7149963378905	0.5250000208616254	44.9399995803833	320.88499450683605	110.43500137329104	1.8890909111720013
cloneB	2	3015	440.869995117188	0.868350028991699	12.7125568389893	507.709991455078	0.254000008106232	45.6599998474121	110.209999084473	135.050003051758	2.15478993377207
cloneB	3	114	1417.489990234375	0.7222521007061005	24.987296104431152	1962.8850708007799	0.1530000045895575	60.850000381469755	354.3699951171875	177.9649963378905	1.3094028080350202
cloneB	3	1001	1056.96997070313	0.766081273555756	20.9565105438232	1379.7099609375	0.175999999046326	77.6100006103516	264.239990234375	183.619995117188	2.337650567074266
cloneB	3	627	229.690002441406	1.42170095443726	7.17120265960693	161.559997558594	0.515999972820282	19.2900009155273	57.4199981689453	48.560001373291	1.8129699523584004
cloneB	3	1758	808.190002441406	1.11900103092194	15.2426233291626	729.909973144531	0.27700001001358	35.9099998474121	202.039993286133	113.76000213623	1.3494926352404024
cloneB	3	571	221.360000610352	1.47524154186249	6.91103458404541	150.050003051758	0.479000002145767	20.4400005340576	55.3400001525879	51.2200012207031	1.9228598602073177
