day	clone	differentiated	absorb.rep1	absorb.rep2	absorb.rep3	DNA_ug_per_ml	absorbance	predicted.pnp.conc	normalised.pnp.conc
0	A	N	0.106	0.169	0.137	2.9029535864978904	0.13733333333333334	0.01863056626897486	0.00641779681067884
0	B	N	0.056	0.055	0.057	2.14048150905932	0.056	-7.47751715894758e-4	-3.4933808712198284e-4
8	A	N	0.358	0.218	0.131	3.9159686026309255	0.23566666666666666	0.04205927039002624	0.01074045138200774
8	B	N	0.054	0.058	0.054	4.892327500620501	0.05533333333333333	-9.065903879018865e-4	-1.8530860572741752e-4
8	A	Y	1.365	1.214	1.227	2.4983556713824773	1.2686666666666666	0.28817979266507104	0.11534778493152072
8	B	Y	0.054	0.056	0.056	2.814314966492926	0.05533333333333333	-9.065903879018865e-4	-3.2213536817865096e-4
