CID	TID	track.duration	track.length	meandering.index	euclidean.distance	mean.speed	track.present.at.start.or.end	track.never.divides	start.time.total.time	end.time.total.time	track.duration.total.time	cell.line
4	16	667	352.838	0.237955382	83.95970102	0.528992504	TRUE	FALSE	0.890151515	1	0.109848485	A1
4	17	667	272.739	0.685905421	187.0731586	0.408904048	TRUE	FALSE	0.890151515	1	0.109848485	A1
4	18	2024	970.779	0.569666573	553.0203459	0.479633893	FALSE	FALSE	0.609848485	0.943181818	0.333333333	A1
4	19	1541	835.371	0.445430242	372.0995064	0.54209669	FALSE	FALSE	0.609848485	0.863636364	0.253787879	A1
4	20	782	437.449	0.246301579	107.7443796	0.559397698	TRUE	FALSE	0.871212121	1	0.128787879	A1
4	21	782	389.749	0.050891789	19.8350238	0.498400256	TRUE	FALSE	0.871212121	1	0.128787879	A1
4	22	253	111.955	0.902557154	101.0457861	0.442509881	FALSE	FALSE	0.954545455	0.996212121	0.041666667	A1
4	23	253	83.49	0.789906133	65.94926306	0.33	FALSE	FALSE	0.954545455	0.996212121	0.041666667	A1
5	1	1104	568.971	0.559759329	318.4868252	0.515372283	TRUE	FALSE	0	0.181818182	0.181818182	A1
5	2	2576	1005.48	0.163378994	164.2743113	0.390326087	FALSE	FALSE	0.185606061	0.609848485	0.424242424	A1
5	3	2346	1019.837	0.199633971	203.5941105	0.434713129	FALSE	FALSE	0.185606061	0.571969697	0.386363636	A1
5	4	2346	558.373	0.334606302	186.8351249	0.238010656	TRUE	FALSE	0.613636364	1	0.386363636	A1
5	5	2346	730.982	0.445960009	325.9887393	0.31158653	TRUE	FALSE	0.613636364	1	0.386363636	A1
5	6	2576	1019.776	0.203753487	207.7829161	0.395875776	TRUE	FALSE	0.575757576	1	0.424242424	A1
5	7	2576	790.942	0.059423345	47.00041908	0.307042702	TRUE	FALSE	0.575757576	1	0.424242424	A1
6	1	805	318.356	0.302192297	96.20473096	0.395473292	TRUE	FALSE	0	0.132575758	0.132575758	A1
6	2	3243	1020.787	0.39295741	401.1258162	0.314766266	FALSE	FALSE	0.136363636	0.670454545	0.534090909	A1
6	3	2024	773.692	0.411188962	318.1336103	0.382258893	FALSE	FALSE	0.136363636	0.46969697	0.333333333	A1
6	4	2001	529.212	0.656874477	347.6258557	0.264473763	TRUE	FALSE	0.670454545	1	0.329545455	A1
6	5	1978	522.176	0.775261318	404.8228541	0.263991911	FALSE	FALSE	0.670454545	0.996212121	0.325757576	A1
6	6	3174	998.128	0.301845158	301.2801035	0.314470069	FALSE	FALSE	0.473484848	0.996212121	0.522727273	A1
6	7	3174	1057.96	0.252018045	266.6250105	0.333320731	FALSE	FALSE	0.473484848	0.996212121	0.522727273	A1
7	1	943	364.176	0.554378548	201.8913621	0.386188759	TRUE	FALSE	0	0.15530303	0.15530303	A1
7	2	1748	662.202	0.1956545	129.5628014	0.378834096	FALSE	FALSE	0.159090909	0.446969697	0.287878788	A1
7	3	3197	1255.817	0.11060965	138.9054787	0.392811073	FALSE	FALSE	0.159090909	0.685606061	0.526515152	A1
7	4	3312	865.998	0.258653641	223.9935358	0.261472826	FALSE	FALSE	0.450757576	0.996212121	0.545454545	A1
7	5	3312	991.377	0.314794801	312.0803256	0.299328804	FALSE	FALSE	0.450757576	0.996212121	0.545454545	A1
7	6	1863	840.677	0.705621618	593.1998651	0.451249061	FALSE	FALSE	0.689393939	0.996212121	0.306818182	A1
7	7	1886	793.849	0.142716556	113.2953953	0.420916755	TRUE	FALSE	0.689393939	1	0.310606061	A1
8	1	1426	621.935	0.284133882	176.7128057	0.436139551	TRUE	FALSE	0	0.234848485	0.234848485	A1
8	2	1863	858.824	0.071227827	61.17216727	0.460989801	FALSE	FALSE	0.238636364	0.545454545	0.306818182	A1
8	3	1863	573.444	0.126498288	72.53968431	0.307806763	FALSE	FALSE	0.238636364	0.545454545	0.306818182	A1
8	4	1725	504.663	0.347856003	175.550054	0.292558261	FALSE	FALSE	0.549242424	0.833333333	0.284090909	A1
8	5	2737	1009.013	0.13867749100000001	139.9273909	0.368656558	TRUE	FALSE	0.549242424	1	0.450757576	A1
8	6	2714	822.914	0.434128345	357.2502929	0.303210759	FALSE	FALSE	0.549242424	0.996212121	0.446969697	A1
8	7	2553	904.38	0.262180449	237.1107542	0.354242068	FALSE	FALSE	0.549242424	0.96969697	0.420454545	A1
8	8	161	25.373	0.743942381	18.87605004	0.157596273	TRUE	FALSE	0.973484848	1	0.026515152	A1
8	9	138	20.658	0.397506315	8.211685454	0.149695652	FALSE	FALSE	0.973484848	0.996212121	0.022727273	A1
9	1	1219	527.543	0.607200201	320.3242156	0.432767022	TRUE	FALSE	0	0.200757576	0.200757576	A1
9	2	2024	1114.189	0.447846871	498.9860573	0.550488636	FALSE	FALSE	0.204545455	0.537878788	0.333333333	A1
9	3	1334	838.307	0.523836503	439.1358077	0.628416042	FALSE	FALSE	0.204545455	0.424242424	0.21969697	A1
9	4	1541	829.826	0.462713719	383.971875	0.538498378	FALSE	FALSE	0.428030303	0.681818182	0.253787879	A1
9	5	3473	1456.22	0.284054367	413.6456503	0.419297437	TRUE	FALSE	0.428030303	1	0.571969697	A1
9	6	1886	964.192	0.226338767	218.2340285	0.511236479	FALSE	FALSE	0.685606061	0.996212121	0.310606061	A1
9	7	1909	493.424	0.746714804	368.4470053	0.258472499	TRUE	FALSE	0.685606061	1	0.314393939	A1
10	1	1357	477.113	0.275642126	131.5124418	0.351593957	TRUE	FALSE	0	0.223484848	0.223484848	A1
10	2	598	333.869	0.678474345	226.5215511	0.558309365	FALSE	FALSE	0.227272727	0.325757576	0.098484848	A1
10	3	1886	708.876	0.175592242	124.4731258	0.375862142	FALSE	FALSE	0.227272727	0.537878788	0.310606061	A1
10	4	1058	351.872	0.353138666	124.2596085	0.332582231	FALSE	FALSE	0.541666667	0.715909091	0.174242424	A1
10	5	2714	1128.75	0.404739336	456.8495251	0.415899042	FALSE	FALSE	0.541666667	0.988636364	0.446969697	A1
10	6	46	15.923	0.988180873	15.73480403	0.346152174	TRUE	FALSE	0.992424242	1	0.007575758	A1
10	7	46	37.654	0.998497479	37.59742409	0.818565217	TRUE	FALSE	0.992424242	1	0.007575758	A1
1	1	1012	236.924	0.31166094619929996	73.83995801732294	0.23411462450592885	TRUE	FALSE	0	0.16730038022813687	0.16730038022813687	B2
1	2	2806	882.721	0.12657839648498462	111.73340872362212	0.3145833927298646	FALSE	FALSE	0.17110266159695817	0.6349809885931559	0.46387832699619774	B2
1	3	2093	533.167	0.03443941548424031	18.361959835485955	0.25473817486860967	FALSE	FALSE	0.17110266159695817	0.5171102661596958	0.34600760456273766	B2
1	4	2185	573.452	0.440855359269704	252.8093874839303	0.26244942791762016	TRUE	FALSE	0.6387832699619772	1	0.3612167300380228	B2
1	5	2185	620.73	0.2353629877995151	146.096867416793	0.28408695652173915	TRUE	FALSE	0.6387832699619772	1	0.3612167300380228	B2
1	6	2254	568.795	0.4312631368618025	245.30031593130897	0.25234915705412597	FALSE	FALSE	0.5209125475285171	0.8935361216730038	0.3726235741444867	B2
1	7	2898	595.706	0.07343609079372078	43.746319902364235	0.2055576259489303	TRUE	FALSE	0.5209125475285171	1	0.4790874524714829	B2
1	8	621	150.635	0.5857145059806822	88.22910460840006	0.2425684380032206	TRUE	FALSE	0.8973384030418251	1	0.10266159695817492	B2
1	9	598	129.251	0.45011818993684904	58.17822616752768	0.21613879598662208	FALSE	FALSE	0.8973384030418251	0.9961977186311788	0.0988593155893536	B2
2	1	1449	237.236	0.1419138888311848	33.667083330754956	0.1637239475500345	TRUE	FALSE	0	0.23954372623574144	0.23954372623574144	B2
