clone	replicate	tracking.id	volume	mean.thickness	radius	area	sphericity	length	width	dry.mass	length.to.width
cloneA	1	1299	3738.3583984375	1.62182235717773	27.0860176086426	2304.83715820313	0.242993280291557	142.102767944336	30.8409214019775	934.588745117188	4.607604490546267
cloneA	1	2031	308.274291992188	1.08311283588409	9.51824474334717	284.618835449219	0.368927985429764	21.9553451538086	17.9634647369385	77.0684967041016	1.2222221868291112
cloneA	1	1766	3383.60131835938	1.2242317199707	29.6607971191406	2763.85668945313	0.192047894001007	142.603179931641	57.4586601257324	845.899597167969	2.4818396325217704
cloneA	1	1051	1440.45703125	1.26328635215759	19.0512866973877	1140.24584960938	0.261920660734177	67.7117767333984	29.0681915283203	360.113952636719	2.1669004603807744
cloneA	1	1318	1556.234375	1.34756052494049	19.1729278564453	1154.85302734375	0.272104769945145	74.4886016845703	22.8757934570313	389.058258056641	3.1033592196566557
cloneA	2	923	1198.3915405273451	1.589986622333525	15.49248504638675	754.2619934082035	0.34783124923706055	56.2961845397949	20.8297681808472	299.597595214844	2.70814901494564
cloneA	2	427	1362.81860351563	1.22112917900085	19.0660724639893	1142.01647949219	0.255724310874939	92.7583389282227	21.6049537658691	340.704315185547	4.051065338957092
cloneA	2	1332	1533.9765014648451	1.5124844908714299	17.9710636138916	1015.6421203613295	0.306361019611359	54.13956832885745	27.820349693298347	383.4937591552735	2.0159873923044205
cloneA	2	998	1951.850952148435	1.184799134731295	22.66048049926755	1613.20886230469	0.227759331464767	83.5302619934082	32.21981620788575	487.9622802734375	2.386328694334692
cloneA	2	305	1547.4501953125	1.07766354084015	21.3792190551758	1435.9306640625	0.218756839632988	93.3129806518555	31.3331623077393	386.862182617188	2.978090105792072
cloneA	3	792	3135.267578125005	1.20562845468521	29.103657722473102	2661.385253906255	0.19072629511356348	89.1748695373535	49.268033981323256	783.816192626953	1.7248324634647894
cloneA	3	462	1162.05700683594	1.35694932937622	16.2840042114258	833.052307128906	0.322239995002747	46.2136268615723	22.7962093353271	290.513977050781	2.0176577296803564
cloneA	3	1274	2136.112792968755	1.862313270568845	18.886013984680147	1120.5482788085951	0.34089133143425	73.24290084838864	25.8038673400879	534.0277099609375	2.8956962279255354
cloneA	3	850	1169.989868164065	1.6694911718368548	14.93453645706175	700.702301025391	0.367062628269196	53.748121261596694	17.0295572280884	292.49717712402355	3.160832133953938
cloneA	3	297	2276.19702148438	1.48632597923279	21.8098449707031	1494.35949707031	0.267086297273636	86.6239929199219	28.2919445037842	569.048706054688	3.233394988274914
cloneB	1	1329	887.608520507813	0.58209228515625	22.0252017974854	1524.01647949219	0.139348387718201	86.8036727905273	50.1794242858887	221.901931762695	1.7298658568894334
cloneB	1	1307	654.726684570313	0.46778416633606	21.1072826385498	1399.63403320313	0.127028673887253	64.1140441894531	41.1078414916992	163.681518554688	1.5596548459592432
cloneB	1	407	881.10400390625	0.549000531435013	23.1562833786011	1692.4418334960951	0.133906289935112	73.51716804504395	40.00852394104005	220.27579498290999	1.9044544597343616
cloneB	1	1402	216.763153076172	0.932734966278076	8.60064506530762	232.387069702148	0.346403837203979	30.4066333770752	11.7421102523804	54.1907386779785	2.5895373764618728
cloneB	1	970	369.876129150391	1.12305915355682	10.5168628692627	347.473968505859	0.344014376401901	26.153621673584	17.9646263122559	92.4689483642578	1.4887641547373278
cloneB	2	4527	2772.3265380859402	0.8360095024108884	32.4826602935791	3314.946289062505	0.14087899774313	138.1688690185545	48.68107986450195	693.080963134766	2.938264660602008
cloneB	2	2442	685.783386230469	0.558098196983337	19.7770328521729	1228.77429199219	0.15034431219101	52.9864349365234	39.2406997680664	171.445693969727	1.350292814595603
cloneB	2	494	223.759994506836	0.56926017999649	11.1855640411377	393.066131591797	0.22193256020546	29.9731426239014	22.1758327484131	55.9399490356445	1.3516129456760209
cloneB	2	5787	663.417175292969	0.714264750480652	16.780245780944803	885.062744140625	0.1949115172028545	46.150175094604506	33.3642616271973	165.854133605957	1.3988151091201635
cloneB	2	4736	420.212310791016	0.829041719436646	12.7014741897583	506.825134277344	0.259866625070572	26.6125392913818	26.6125392913818	105.05298614502	1
cloneB	3	1260	234.751831054688	1.65215694904327	6.72518014907837	142.088088989258	0.550434172153473	15.302209854126	11.3103294372559	58.6879005432129	1.352941126871244
cloneB	3	958	419.605651855469	0.53285950422287	15.8321304321289	787.460144042969	0.165132641792297	58.4565658569336	22.7009048461914	104.901321411133	2.5750764673479982
cloneB	3	204	4001.10986328125	0.971743166446686	36.2025833129883	4117.4560546875	0.146676421165466	98.5176696777344	59.2502746582031	1000.27655029297	1.6627377720365522
cloneB	3	1648	359.729766845703	1.18987965583801	9.80983638763428	302.324523925781	0.365762621164322	21.9553451538086	21.2900314331055	89.9323654174805	1.0312500111986005
cloneB	3	1154	300.311912536621	0.7736348509788515	11.08289575576785	388.19705200195347	0.27113011479377747	25.35906219482425	22.107953071594203	75.0779037475586	1.1494328006588457
