clone	replicate	volume	mean.thickness	radius	area	sphericity	length	dry.mass	perimeter	length.to.width
cloneA	1	1422.52001953125	1.26281177997589	18.8206081390381	1112.80004882813	0.261999994516373	70.9700012207031	355.630004882813	178.960006713867	2.6116295959159435
cloneA	2	1618.200012207035	1.275683760643005	19.8480892181396	1237.61999511719	0.254999995231628	70.6349983215332	404.5449981689455	NA	2.329999727465811
cloneA	3	1501.47998046875	1.2540111541748	19.3593502044678	1177.42004394531	0.256000012159348	75.5	375.359985351563	187.610000610352	2.7797356861096056
cloneB	1	1576.9049682617201	0.907159328460693	23.7191905975342	1767.4599609375	0.185000002384186	68.4400024414063	394.220001220703	206.910003662109	1.6512506735309442
cloneB	2	1450.09997558594	0.891939878463745	22.7334804534912	1623.60998535156	0.187999993562698	67.0699996948242	362.519989013672	200.919998168945	1.6947705772029922
cloneB	3	1254.239990234375	0.9482265412807465	20.0599346160889	1264.18005371094	0.209000006318092	54.125	313.550003051758	163.660003662109	1.5822848582858229
