term	LID	TID	track.duration	track.length	meandering.index	euclidean.distance	mean.speed
LID	NA	-0.14833421921375634	0.041094147767505064	0.03460333611066167	0.0280577750267798	0.009019989450813538	-0.025358151444665345
TID	-0.14833421921375634	NA	-0.25469355516693104	-0.26814338311458785	0.22121950326347886	-0.13344059417533352	-0.1253303842464529
track.duration	0.041094147767505064	-0.25469355516693104	NA	0.8403231554595499	-0.4772115542335658	0.41270873755640697	-0.004586156425639504
track.length	0.03460333611066167	-0.26814338311458785	0.8403231554595499	NA	-0.3449996249906248	0.6255002216639575	0.47416485412135306
meandering.index	0.0280577750267798	0.22121950326347886	-0.4772115542335658	-0.3449996249906248	NA	0.4073201830045752	0.1141153528838221
euclidean.distance	0.009019989450813538	-0.13344059417533352	0.41270873755640697	0.6255002216639575	0.4073201830045752	NA	0.4936653416335409
mean.speed	-0.025358151444665345	-0.1253303842464529	-0.004586156425639504	0.47416485412135306	0.1141153528838221	0.4936653416335409	NA
