clone	replicate	tracking.id	volume	mean.thickness	radius	area	sphericity	length	dry.mass	perimeter	length.to.width
cloneA	1	4847	899.050018310547	1.4823068380355848	13.894745349884051	606.6300048828125	0.3410000056028365	35.46999931335445	224.7600021362305	106.44499969482415	1.4622417188123982
cloneA	1	1522	897.460021972656	2.51241588592529	10.6631832122803	357.209991455078	0.483000010251999	35.4700012207031	224.360000610352	97.129997253418	1.8464343004249928
cloneA	1	1553	1309.23999023438	1.40790951251984	17.1766777038574	926.890014648438	0.289000004529953	75.1900024414063	327.309997558594	175.639999389648	3.034301870779523
cloneA	1	4922	1449.2899780273451	1.2066081762313852	19.635865211486852	1213.5	0.244499996304512	60.9750003814697	362.3199920654295	178.2999954223635	1.9279530303671804
cloneA	1	1626	2047.36999511719	1.46094620227814	21.4055480957031	1439.46997070313	0.270000010728836	87.9300003051758	511.839996337891	210.899993896484	2.998756309047893
cloneA	2	2774	1363.27001953125	1.46377885341644	17.6299991607666	976.460021972656	0.291000008583069	58.7000007629395	340.809997558594	NA	2.3386277996416323
cloneA	2	3281	1700.19995117188	1.3806711435318	19.7983932495117	1231.43005371094	0.264999985694885	48.2400016784668	425.049987792969	NA	1.348993398845286
cloneA	2	1185	1374.8600463867201	1.1608427762985252	19.43561267852785	1186.714965820315	0.239999994635582	70.2300033569336	343.71000671386696	NA	2.466782948068351
cloneA	2	1628	632.299987792969	1.14553332328796	13.2550935745239	551.969970703125	0.303999990224838	26.9599990844727	158.070007324219	NA	1.1126702267359776
cloneA	2	1295	1170.56005859375	0.838456034660339	21.0805416107178	1396.08996582031	0.184000000357628	50.2599983215332	292.640014648438	NA	1.0973798942962374
cloneA	3	1416	507.609985351563	0.861597180366516	13.694242477417	589.150024414063	0.247999995946884	52.8400001525879	126.900001525879	125.73999786377	3.0525708713366013
cloneA	3	1861	1796.35498046875	1.40860939025879	21.140427589416497	1404.054992675785	0.2635000050067905	88.82500076293945	449.08499145507847	246.82499694824202	2.6802210631232715
cloneA	3	3219	753.654998779297	1.37114500999451	13.68572664260865	588.489990234375	0.3365000039339065	55.715000152587905	188.4100036621095	118.4199981689455	3.3811061747547435
cloneA	3	1975	1047.09997558594	1.11112284660339	17.3196086883545	942.380004882813	0.252000004053116	46.5299987792969	261.760009765625	158.339996337891	1.1800658995477895
cloneA	3	3135	1298.2099609375	1.49332821369171	16.4432945251465	849.429992675781	0.314999997615814	49.4900016784668	324.540008544922	118.419998168945	2.282292064964171
cloneB	1	2126	698.440002441406	1.21097159385681	13.5494804382324	576.760009765625	0.310999989509583	29.7900009155273	174.610000610352	96.4700012207031	1.084455830366364
cloneB	1	854	1756.39001464844	0.74074649810791	27.6445980072021	2400.8798828125	0.143999993801117	84.9400024414063	439.089996337891	310.700012207031	1.4552200296947344
cloneB	1	1700	546.080017089844	0.942492246627808	13.580454826355	579.400024414063	0.26800000667572	39.8800010681152	136.520004272461	113.099998474121	1.5639216105143214
cloneB	1	1153	1091.48999023438	0.864909648895264	19.3593502044678	1177.42004394531	0.202000007033348	64.0299987792969	272.869995117188	171.649993896484	1.97887320475297
cloneB	1	1324	644.809997558594	1.00812995433807	14.2686433792114	639.609985351563	0.268999993801117	30.9500007629395	161.199996948242	102.449996948242	1.0124305224700292
cloneB	2	131	1956.17004394531	0.78359854221344	28.2172088623047	2501.3701171875	0.145999997854233	96.1500015258789	489.040008544922	353.940002441406	2.1428572278737974
cloneB	2	182	1728.77001953125	0.806603908538818	26.1194190979004	2143.27001953125	0.155000001192093	85.5299987792969	432.190002441406	407.829986572266	1.796094092770523
cloneB	2	2406	737.9499816894535	0.876570075750351	16.1314287185669	818	0.22549999505281448	62.920000076293945	184.480003356934	152.020004272461	2.6357049964921617
cloneB	2	3665	2133.06005859375	0.804757475852966	28.6064720153809	2570.86010742188	0.146999999880791	88.7900009155273	533.260009765625	243.5	2.076959085743329
cloneB	2	2353	420.130004882813	0.732380330562592	13.512900352478	573.650024414063	0.225999996066093	52.5	105.029998779297	127.069999694824	2.504771101774157
cloneB	3	1673	2468.810058593755	0.927315950393677	29.09438133239745	2660.93505859375	0.162500001490116	80.939998626709	617.200012207031	259.465003967285	1.6255434721340896
cloneB	3	150	2080.39990234375	0.655953168869019	31.3107414245605	3079.89990234375	0.123000003397465	96.1399993896484	520.090026855469	300.040008544922	1.8499133563874048
cloneB	3	1282	1852.64001464844	1.04270696640015	23.7815113067627	1776.76000976563	0.196999996900558	104.389999389648	463.160003662109	286.070007324219	2.4430142875724608
cloneB	3	1632	399.079986572266	1.13124322891235	10.5968561172485	352.779998779297	0.335999995470047	40.6199989318848	99.7699966430664	100.459999084473	2.682958917487704
cloneB	3	152	275.540008544922	1.42449474334717	7.84669876098633	193.429992675781	0.477999985218048	27.4300003051758	68.870002746582	61.2000007629395	3.127707967323229
